;tipo de incendio;año;mes;anho;Región de Arica;Región de Tarapacá;Región de Antofagasta;Región de Atacama;Región de Coquimbo;Región de Valparaíso;Región Metropolitana;Región del Libertador Bernardo O'higgins;Región del Maule;Región del Ñuble;Región del Bío Bío;Región de la Araucanía;Región de los Ríos;Región de los Lagos;Región de Aysén del General Carlos Ibáñez del Campo;Región de Magallanes y de la Antártica Chilena;Chile
2551;Emergencia Metro de Santiago 10-19;2024;Agosto;116;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
2552;Estructural 10-0;2024;septiembre;117;7;25;41;13;31;137;330;134;96;88;250;161;80;181;28;19;1621
2553;Vehículos 10-1;2024;septiembre;117;2;6;11;1;13;29;229;24;19;4;27;20;7;11;3;4;410
2554;Pastizales y/o Basura 10-2;2024;septiembre;117;18;19;45;35;55;193;452;280;136;55;64;47;6;60;0;2;1467
2555;Rescate de Emergencia 10-3;2024;septiembre;117;14;17;21;9;22;176;1181;101;52;49;151;104;54;83;2;1;2037
2556;Rescate Vehicular 10-4;2024;septiembre;117;17;40;52;40;53;266;548;203;162;78;218;130;73;115;14;11;2020
2557;Haz-Mat 10-5;2024;septiembre;117;2;1;6;1;5;41;58;22;11;8;22;18;8;41;0;6;250
2558;Gas 10-6;2024;septiembre;117;8;10;25;12;22;124;249;30;33;18;93;49;24;42;4;9;752
2559;Eléctrico 10-7;2024;septiembre;117;0;5;6;2;3;41;209;20;8;17;32;14;4;10;2;2;375
2560;No Clasificado 10-8;2024;septiembre;117;7;3;9;5;15;80;85;62;101;44;94;26;18;30;3;7;589
2561;Otros Servicios 10-9;2024;septiembre;117;5;36;54;31;50;307;275;461;112;268;212;575;188;280;11;48;2913
2562;Escombros 10-10;2024;septiembre;117;0;0;3;2;1;24;8;2;2;1;3;0;2;8;1;1;58
2563;Servicio Aéreo 10-11;2024;septiembre;117;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3
2564;Apoyo a otros Cuerpos 10-12;2024;septiembre;117;0;0;2;2;8;33;239;17;7;7;16;25;11;3;1;0;371
2565;Atentados Terroristas 10-13;2024;septiembre;117;0;0;0;0;0;3;0;0;2;0;2;0;1;0;0;0;8
2566;Accidentes Aéreos 10-14;2024;septiembre;117;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2
2567;Simulacro 10-15;2024;septiembre;117;0;1;7;0;3;18;15;9;10;3;7;22;8;12;6;3;124
2568;Túnel 10-16;2024;septiembre;117;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
2569;Falsa Alarma 6-16;2024;septiembre;117;0;2;0;1;3;9;32;9;1;7;3;3;1;17;0;0;88
